3000	1000	99999999999		
0	5.129943	9.103452	0	
1	4.285096	8.786530	50	
2	3.818385	10.340762	18	
3	5.176914	10.152395	97	
4	10.586370	17.469661	27	
5	7.957946	13.264464	44	
6	4.065753	9.898594	9	
7	8.460466	5.855914	85	
8	6.055514	13.140621	30	
9	6.570303	14.501964	76	
10	4.909265	9.289947	18	
11	4.370407	10.206945	58	
12	4.548149	9.594870	43	
13	5.870653	9.218560	64	
14	4.360161	6.949685	89	
15	5.041445	9.291928	12	
16	7.705608	13.527648	76	
17	6.515837	10.137397	62	
18	2.055492	4.477684	41	
19	6.798467	8.204079	22	
20	8.742339	16.792926	89	
21	7.925008	14.932140	95	
22	3.807146	8.709085	9	
23	6.132249	9.819542	31	
24	3.378090	5.899956	14	
25	6.642323	9.294608	19	
26	4.820300	5.476168	48	
27	3.741921	8.662385	52	
28	5.015722	7.720065	73	
29	10.623795	17.702064	12	
30	8.346456	14.472043	66	
31	3.613608	3.870493	14	
32	4.859945	10.454372	29	
33	7.486298	6.372221	44	
34	3.933426	7.136864	84	
35	4.741861	8.280465	74	
36	3.526509	5.182153	41	
37	7.430801	15.254460	59	
38	5.298852	11.567565	52	
39	4.004493	3.751682	19	
40	4.629971	9.102754	69	
41	8.826132	15.596278	62	
42	7.004963	11.895187	21	
43	7.222671	8.693565	22	
44	4.311470	8.835914	43	
45	4.696560	7.306287	83	
46	8.062075	6.079713	13	
47	6.045501	8.073904	7	
48	4.876141	11.401204	84	
49	5.646203	12.639865	68	
50	5.349351	7.904104	29	
51	3.176997	4.557543	5	
52	4.493031	7.548885	87	
53	9.079976	15.411360	26	
54	5.390623	7.256254	18	
55	6.336862	13.819730	88	
56	3.917879	4.606446	51	
57	4.247638	6.810589	93	
58	6.133373	13.326125	22	
59	5.191772	12.763118	68	
60	4.783612	12.006914	79	
61	3.798137	4.636439	19	
62	7.599198	15.143168	79	
63	4.670212	11.071955	36	
64	4.707342	10.131870	89	
65	5.668891	9.716275	30	
66	6.167962	8.449184	81	
67	8.111927	14.318850	94	
68	5.213772	6.991581	94	
69	8.120107	15.480189	69	
70	0.374381	4.218243	46	
71	7.416095	12.402321	10	
72	4.687331	11.110384	99	
73	5.770234	9.113166	80	
74	5.029638	12.722336	65	
75	7.131572	13.896475	52	
76	5.997928	13.740960	38	
77	9.396402	15.683750	91	
78	4.808247	6.851985	65	
79	10.902008	18.063413	54	
80	5.694648	8.653220	58	
81	7.558509	15.510485	97	
82	5.722841	13.235495	37	
83	7.471393	12.577513	32	
84	4.283519	9.024055	55	
85	5.408575	7.401798	100	
86	4.606843	9.239024	10	
87	7.694109	15.894182	37	
88	4.189196	8.500310	46	
89	4.541825	5.822261	35	
90	4.206191	10.601900	52	
91	6.837641	8.212044	17	
92	1.630251	5.279029	64	
93	2.436633	4.531886	41	
94	8.842506	16.298865	34	
95	5.125511	9.894017	66	
96	2.736939	6.531185	33	
97	4.493031	7.548885	5	
98	4.468351	8.378817	84	
99	5.339720	12.140337	8	
100	4.892652	11.250944	59	
101	6.451579	12.764240	30	
102	6.628811	10.153787	16	
103	4.479861	8.324510	60	
104	3.638733	4.753641	48	
105	3.610536	5.728688	54	
106	5.031625	5.611414	8	
107	3.494265	9.135634	88	
108	5.706408	8.764715	39	
109	6.669576	13.805306	15	
110	8.557365	6.707251	14	
111	6.819140	8.795277	95	
112	3.616778	9.733882	36	
113	3.070783	4.256201	43	
114	7.506272	7.627454	76	
115	7.295609	12.249743	51	
116	3.529216	6.361813	72	
117	4.119912	10.396725	77	
118	7.400385	14.499056	31	
119	7.923448	13.066484	43	
120	5.594292	11.066794	12	
121	5.575811	10.094295	32	
122	4.589672	10.199235	11	
123	6.026103	8.429834	15	
124	6.286334	13.667734	62	
125	7.918187	13.229863	21	
126	5.286193	13.202659	54	
127	5.515028	13.382603	99	
128	5.760752	3.553724	31	
129	5.559532	9.455835	49	
130	2.697964	3.495748	54	
131	8.727579	9.840865	12	
132	5.356182	11.093684	68	
133	7.565810	15.240860	71	
